Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Meta reconfirms its commitment to the metaverse,Somewhat Positive,70,"['criticized', 'loss', 'skepticism', 'disastrous', 'losing', 'criticizing', 'lack', 'rival']",[],"[Andrew, Bosworth, John, Carmack]"
2,Meta fined $414 million in EU for requiring personalized ads,Extremely Negative,440,"['illegally', 'disappointed', 'resistance', 'decline', 'lost', 'loses', 'risks', 'losing', 'doubtful', 'penalty', 'failing']",[],"['harassment', 'lawsuit', 'lawsuit', 'lawsuit']"
3,Ireland fines Meta over $400 million for its targeted advertising practices,Extremely Negative,350,"['risk', 'complaints', 'complaints', 'violation', 'insufficiently', 'denied', 'leak', 'problems']",[],"['harassment', 'lawsuit']"
4,Meta rolls out AI ad-targeting tech in an effort to reduce discrimination,Somewhat Positive,190,"['discrimination', 'unfairly', 'issues', 'stresses', 'noise', 'discrimination', 'scrap', 'discrimination', 'limited', 'limit', 'discriminatory', 'discrimination']",['fight'],['lawsuit']
5,How to permanently delete all your Facebook and Meta-owned accounts,Extremely Negative,200,['hang'],[],[]
6,HTC builds a standalone VR / AR headset to rival the Meta Quest Pro,Extremely Positive,110,"['pricey', 'Strangely', 'odd', 'sunk', 'criticize', 'disadvantage', 'Hubris']",['Gun'],"[Sam, Rutherford]"
7,Meta's first Quest VR headset will no longer get any feature updates,Extremely Negative,230,"['critical', 'bug', 'difficulties', 'losing']",[],[]
8,"Amazon's expanded job cuts will affect over 18,000 employees",Extremely Negative,450,"['lost', 'losing', 'froze', 'broke', 'Slack', 'bloated']",[],"[Andy, Jassy, 'harassment', 'harassment', 'harassment', Mark, Zuckerberg, 'harassment']"
9,The Morning After: We tried Dyson’s air-purifying headphones,Extremely Negative,570,"['baffling', 'dark', 'missed', 'issue', 'pricey', 'spendy', 'bug', 'Bad', 'abused', 'complaint', 'concern', 'prohibit', 'impose', 'prohibit']",['abuse'],"[Cherlynn, Low, Mat, Smith, Elon, Musk, Elon, Musk, Musk, 'lawsuit', Musk, Zelda, Mario, Priah, Ferguson, DJ, Khaled, 'harassment', 'harassment', 'lawsuit', 'lawsuit']"
10,Meta faces exsanguination by small fines,Extremely Negative,260,"['improperly', 'Worse', 'painful', 'recalcitrant', 'breakup', 'slower', 'breakup']",[],"[Robert, Cyran]"
