Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,‘Takes notes’: Man sends delivery service agent to speak to Apple staff at Bengaluru store,Somewhat Positive,40,"['hassle', 'issues', 'tiring', 'issue', 'lost']",[],"[Peak, Bengaluru, Shankar, Ganesh, Ganesh, Shankar, Ganesh, shankarganesh]"
2,No Headline,Extremely Negative,190,[],[],[]
3,Dunzo Interview Experience for SDE Intern (On-Campus) 2023,Somewhat Positive,60,"['brute', 'difficulties']",['execution'],[arrowdropup]
4,Gig Workers Approve Fairwork’s Low Ratings for Platforms; Here’s Why,Generally Neutral,190,"['complaints', 'failing', 'wrong', 'wrong', 'cracks', 'fake', 'ambivalence', 'disconcerting', 'grievance', 'enemies']",['failed'],"['harassment', Sarvesh, Soujanya, Sridharan, Sarayu, Natarajan, Aroon, Deep, Aditya, Chunduru, Rajesh, Kumar]"
5,"Top Tech News Today: Elon Musk Encourages Employees “Not to Get Worried” As Tesla Stock Drops By 70% This Year! The Judge in The FTX Fraud Case Stepped Down, But Why?",Extremely Positive,0,[],[],[]
6,No Headline,Extremely Negative,240,[],['Africa'],[Clare]
7,4 Great Grocery Shopping Apps You Need To Try On Android,Extremely Positive,0,[],[],[]
8,No Headline,Extremely Negative,250,['Toll'],['Africa'],"[Laura, WoodSenior]"
9,No Headline,Extremely Negative,490,"['fragmented', 'rivalry', 'threat', 'challenging', 'threat', 'hamper', 'impede', 'threat', 'impede', 'Threat', 'Threat', 'Threat', 'rivalry', 'disruption', 'risks']","['Africa', 'Africa', 'Africa']","[Jesse, Maida]"
10,Uber and Amazon have some of the poorest working conditions for gig workers in India reveals study,Somewhat Negative,170,"['worst', 'deprived', 'lack']",['failed'],"[Mehul, Reuben, Das, Fairwork, Balaji, Parthasarathy, Janaki, Srinivasan]"
