Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"OpenAI releases Point-E, which is like DALL-E but for 3D modeling",Generally Neutral,60,"['object', 'notoriety', 'object', 'object', 'expensive', 'coarse', 'worse']",[],"[Elon, Muskfounded, Alex, Nichol]"
2,OpenAI Wants to Know How Much You'll Pay for the Premium Version of ChatGPT,Somewhat Positive,70,"['Discord', 'expensive', 'Discord', 'touts', 'fooled', 'chagrin', 'concerned', 'notoriety']",[],[]
3,The Dark Risk of Large Language Models,Generally Neutral,630,"['hard', 'broken', 'badly', 'depressed', 'warning', 'dead', 'dead', 'naive', 'bad', 'sorry', 'genocide', 'risks', 'harm', 'risks', 'toxic', 'slower', 'mistake', 'credulous', 'fool', 'deadly', 'difficult', 'Worse', 'pervasive', 'liability', 'shaky', 'bad', 'break', 'fatal', 'dark', 'lost', 'lose']","['murderer', 'death', 'suicide', 'kill', 'kill', 'death']","[USER, USER, Jacob, Steinhardt, Blake, Lemoine, 'lawsuit', Lemoine]"
4,10 Things ChatGPT Can and Can't Do,Extremely Positive,1250,"['pan', 'weirdly', 'bizarre', 'cold', 'hard', 'lapses', 'critical', 'problem', 'gibberish', 'BS', 'harmful', 'issue', 'trouble', 'Concerns', 'weirdly', 'disrupt', 'irrelevant', 'cheating', 'Fiction', 'Fiction', 'fiction', 'worse', 'obsolete', 'afraid', 'bad', 'disaster', 'Fail', 'Fail', 'wretched', 'gloom', 'cold', 'obsolete', 'wrong', 'errors']","['dumbass', 'Toilet', 'Toilet', 'toilet', 'drunk', 'sick', 'toilet', 'ass', 'toilet', 'toilet', 'killed', 'dirty', 'smut', 'kill', 'fucking', 'doom']","[JayZ, JayZ, JayZ, Rick, Rubin, Bridge, Chorus, ChatGPT, Jordan, Raskopoulos, Scooby, Doo, 'lawsuit', 'lawsuit', 'lawsuit', Perlman, 'lawsuit', Darren, Hick, Hick, Stuart, Selber, Jacqueline, Antonovich, Selbers]"
5,"Microsoft, OpenAI, ChatGPT, yada yada yada",Extremely Positive,220,"['skeptic', 'wrong', 'hedge', 'critical', 'tiring', 'hype', 'insane', 'expensive', 'issues', 'lie']","['vomit', 'puke']","[Sam, Altman, Gary, Marcus, Substack, Sam, Altman, Marcus, Semafor, Sam, Altman, Greg, Brockmans, 'lawsuit', Sam, Altman]"
6,No Headline,Extremely Negative,260,"['object', 'object', 'expensive', 'coarse', 'worse', 'coarse', 'worse']",[],"[Alex, Nichol]"
7,ChatGPT creator OpenAI is in talks to sell shares in a tender offer that would double the startup's valuation to $29 billion,Extremely Negative,260,"['chilly', 'falls']",['Communist'],"[Jack, Ma]"
8,Microsoft reportedly to add ChatGPT to Bing search engine,Somewhat Positive,40,"['challenging', 'slow', 'slow', 'threat', 'hard']",[],[]
9,"Breakingviews: Microsoft’s AI bet: heads I win, tails I also win",Extremely Negative,270,"['slow', 'rival', 'pittance', 'threat', 'wasted', 'hard', 'scarce', 'risk']",[],"[Satya, Nadella, robcyran, karenkkwok]"
10,ChatGPT creator OpenAI in talks for tender offer valuing company at $29 bln - WSJ,Extremely Negative,190,[],[],"[Elon, Musk, Sam, Altman]"
11,Microsoft is reportedly in talks to pump in $10 billion into OpenAI — the owner of ChatGPT — valuing the company at $29 billion,Extremely Negative,260,"['rival', 'falls']",['Communist'],"[Liz, Hoffman, Reed, Albergotti, Sam, Altman, Elon, Musk, Sam, Altman, sama, Beatrice, Nolan, Jack, Ma]"
12,Microsoft's reported $10 billion OpenAI bet is a gamble on the future of AI,Extremely Positive,190,"['limited', 'hype', 'Stern', 'Stern', 'break', 'blame', 'culprit', 'sneaky', 'sneaky', 'falls']","['fight', 'Communist']","[Matt, Weinberger, Jordan, Parker, Erb, Peter, Stern, Stern, April, Joyner, Marc, Benioff, Tim, Levin, Matt, Weinberger, Hallam, Bullock, hallambullock, Jack, Ma]"
13,Microsoft's investment into ChatGPT's creator may be the smartest $1 billion ever spent,Extremely Negative,430,"['risky', 'expensive', 'split', 'hype', 'scarily', 'threat', 'hegemony', 'hard', 'lose', 'expensive', 'declines', 'slow', 'skepticism', 'unproven', 'suffer', 'lack', 'fret', 'abused', 'falls']",['Communist'],"[Sam, Altman, Elon, Musk, Peter, Thielrun, Emilia, David, Gil, Luria, Luria, Luria, Nalin, Patel, Brendan, Burke, Burke, Jack, Ma]"
14,"ChatGPT could be a 'game changer' for Microsoft that turns it into a core AI stock as it mulls a $10 billion investment into OpenAI, Wedbush says",Extremely Negative,240,"['aggressive', 'mistakes', 'embroiled', 'slowed', 'mistakes']",[],"[Dan, Ives, Ives, Dan, Ives, Ives, Ives, Ives, Satya, Nadella, Nadella, Ives, Ives]"
15,No Headline,Extremely Negative,190,[],[],[]
16,No Headline,Extremely Negative,190,[],[],[]
17,Humans and AI Will Understand Each Other Better Than Ever,Extremely Positive,60,"['frustrating', 'struggle', 'rough', 'expensive', 'torrent', 'radically', 'limitations']",[],[]
18,No Headline,Extremely Negative,230,"['refused', 'problem', 'refused', 'problem']",[],[]
