Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"China must raise self-reliance in agricultural technology, Xi says",Extremely Positive,20,"['weak', 'issues', 'lack']",[],"[Xi, Xi, Jinping, Xi, Xi]"
2,Investigation: Many U.S. hospitals sue patients for debts or threaten their credit,Extremely Negative,1400,"['sue', 'debts', 'threaten', 'harm', 'debt', 'debt', 'commonplace', 'aggressive', 'debt', 'drain', 'difficult', 'shroud', 'incomplete', 'risks', 'jeopardize', 'sue', 'risk', 'debts', 'debt', 'deny', 'debt', 'afraid', 'worried', 'callous', 'devastating', 'debt', 'fearsome', 'toll', 'debt', 'difficult', 'delaying', 'defect', 'lapsed', 'rejected', 'rejected', 'desperate', 'debt', 'debt', 'sued', 'dangerous', 'infection', 'callous', 'oversight', 'stress', 'hard', 'difficult', 'impossible', 'complicated', 'limited', 'sued', 'sued', 'sued', 'debt', 'threat', 'sue', 'sued', 'sue', 'sue', 'sue', 'Debt', 'sue', 'jeopardy', 'aggressive', 'aggressive', 'debt', 'aggressive', 'debt', 'sue', 'limits', 'restricted', 'debt', 'aggressive', 'minority', 'debt', 'denied', 'issues', 'issues']",['sick'],"['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Tracy, Douglas, 'lawsuit', Douglas, Basit, Balogun, Balogun, Balogun, Balogun, Balogun, Nick, Elizabeth, Woodruff, Nick, Elizabeth, Nick, Ragone, 'lawsuit', 'lawsuit', Lisa, Donovan, 'lawsuit', Michael, Beyer, Melinda, Hatton, Jared, Walker, Michele, Johnson, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Mark, Rukavina, Megan, Kalata, Margaret, Ferguson, Anna, Back, Amber, Cole]"
3,"Reliance on hi-tech solutions to climate crisis perpetuates racism, says UN official",Extremely Negative,1720,"['racism', 'racism', 'warned', 'crisis', 'racism', 'bleak', 'difficult', 'crisis', 'discrimination', 'crisis', 'racism', 'discrimination', 'intolerance', 'controversial', 'fury', 'warning', 'bigotry', 'hostile', 'injustices', 'racism', 'issue', 'injustice', 'crisis', 'crisis', 'devastating', 'crisis', 'overwhelmingly', 'loss', 'inequalities', 'crisis', 'inequality', 'injustice', 'harms', 'displaced', 'injustices', 'problems', 'crisis', 'destruction', 'injustices', 'damage', 'crisis', 'crisis', 'loss', 'damage', 'wedge', 'injustice', 'crisis', 'worry', 'loss', 'damage', 'undermine', 'loss', 'damage', 'danger', 'trapped', 'problem', 'suffering', 'breakdown', 'harms', 'passive']","['racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial', 'racial']","[Tendayi, Achiume, Achiume, Achiume, Achiume, 'harassment', 'lawsuit', 'harassment', 'harassment', Achiume, 'harassment', Achiume, Achiume, Achiumes, Achiume, 'harassment', Achiume]"
4,Equinor and RWE to build hydrogen supply chain for German power plants,Extremely Positive,20,"['tricky', 'limited', 'urgent']",[],"[Anders, Opedal, Olaf, Scholz, Jonas, Gahr, Stoere, Markus, Krebber]"
5,North American semiconductor industry will prevent ‘over-reliance’ on Asia: Trudeau,Extremely Negative,550,"['dire', 'critical', 'shortage', 'disruptive', 'critical', 'critical', 'overwhelmingly', 'undermined', 'dispute', 'dispute', 'issue', 'concerns', 'skeptic', 'contentious', 'issue', 'complaints', 'dispute', 'suffering', 'concerns', 'contradiction', 'risk', 'excessively', 'risk']","['dies', 'fear']","[Justin, Trudeau, Trudeau, Joe, Biden, Andres, Manuel, Lopez, Obrador, Kanye, West, Bianca, Censori, Trudeau, Trudeau, 'lawsuit', Trudeau, Lopez, Obrador, Bidens, Trudeau, Lopez, Obrador, Trudeau, Lopez, Obrador, Lopez, Obrador, Trudeau, Lisa, Marie, Presley, Trudeau, Lopez, Obrador, Biden, Trudeau, Fumio, Kishida, Trudeau, Yasutoshi, Nishimura]"
6,India's Lotus Chocolate rises 5% on selling majority stake to Reliance Retail,Extremely Negative,200,['Limited'],[],"[Mukesh, Ambani]"
7,No Headline,Extremely Negative,230,"['dangerous', 'impatient', 'unwilling', 'problem']",[],[]
8,Japan to begin extracting rare earth metals from seabed in 2024,Extremely Positive,0,[],[],[]
9,Fitch affirms India at 'BBB-' with stable outlook,Extremely Positive,30,"['fall', 'gloomy', 'declining', 'slow']",[],[]
10,"
      Taliban use water cannon on women protesting education order in Afghanistan
    ",Extremely Negative,330,"['protesting', 'protest', 'dissatisfaction', 'unhappiness', 'boycott', 'boycott', 'notorious', 'restricted']",[],"['lawsuit', 'lawsuit']"
11,Disney accused of squeezing theme park customers,Extremely Negative,350,"['criticism', 'unsustainable', 'concerns', 'losses', 'complaints', 'suspect', 'risk', 'damage', 'protested', 'crisis', 'overpaid', 'concerns', 'losses', 'rejected', 'sink', 'sharply']",[],"[Nelson, Peltz, Peltz, Rupert, Murdochs, Fox, Bob, Iger, Iger]"
12,The Year Ahead in Autonomous Responsibility,Extremely Positive,300,"['breaking', 'numb', 'harm', 'dangerous', 'crashes', 'harmful', 'conflicts', 'limits', 'harmful', 'irreversible', 'confounded', 'astray', 'weaker', 'disastrous', 'harmful', 'bad']",[],"[Nikki, Main, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Langdon, Winner, Winner, Langdon, Winner, Madeleine, Clark, Elish, PJ, Rey, 'lawsuit']"
13,South Korea's Yoon warns of ending military pact after North drone intrusion,Extremely Negative,510,"['intrusion', 'tension', 'intrusion', 'drones', 'drones', 'overwhelming', 'provocation', 'hostile', 'concerns', 'tense', 'warned', 'scrap', 'retaliate', 'drones', 'difficult', 'drones', 'drones']","['propaganda', 'angry', 'killer']","[Yoon, Yoon, Sukyeol, Yoon, Kim, Eunhye, Kim, Kim, Jong, Un, Moon, Jaein, Yoon, Yoon, Yoon, Yoon, Kim, Lee, Jongsup]"
14,Carlyle buys majority stake in India's VLCC for $300 mln - sources,Extremely Negative,200,['crowded'],[],"[Amit, Jain, Jain, Vandana, Luthra, Mukesh, Luthra]"
15,Major iPhone Display Supplier to Build $250 Million OLED Factory in Vietnam,Extremely Positive,50,"['disruption', 'broken', 'rumors', 'sketchy', 'rumor', 'resistance']",[],"[MingChi, Kuo, BOE, MingChi, Kuo, Kuo, Mark, Gurman, Gurman]"
16,Britain expects financial services deal with Swiss in summer 2023,Generally Neutral,50,['rejected'],[],"[Jeremy, Hunt, Ueli, Maurer, 'harassment']"
17,India's 5G smartphone shipments to cross 4G shipments in 2023 - Counterpoint,Extremely Positive,40,"['decline', 'issues', 'limitations', 'conflicts', 'limited']",[],[]
18,German companies plan to invest more in Africa in 2023,Generally Neutral,10,['counterproductive'],[],"[Christoph, Kannegiesser, Kannegiesser, Kannegiesser]"
19,Factbox: Hydrogen's many colours,Extremely Positive,10,['split'],[],[]
20,"Britain's renewable power hits new peak, fossil fuel also rises",Extremely Positive,20,"['cheap', 'pain', 'disruption']",[],"[Iain, Staffell]"
21,German green group files complaint seeking shorter LNG terminal licence,Extremely Negative,280,"['complaint', 'complaint', 'risks', 'complaint', 'limited', 'harmful', 'complaint', 'neglected', 'crisis']",[],"[Sascha, MuellerKraenner]"
22,Bulgaria in talks with Turkey on long-term gas deal,Somewhat Positive,50,['refused'],[],"[Bulgarias, Rossen, Hristov, Hristov, Hristov, Hristov, 'harassment']"
23,"Bed, Bath & Beyond rebounds in meme-stock rally",Extremely Positive,110,"['sharply', 'struggling', 'buzzing', 'frenzy', 'troubled', 'lost', 'warned', 'concern', 'struggled', 'problems', 'fell', 'loss']",[],[]
24,Deere & Co. will allow farmers to repair their own equipment,Somewhat Positive,110,"['commonplace', 'problems', 'vice', 'infringement', 'rival', 'issue']",[],"[Zippy, Duvall, Dave, Gilmore, Deeres, 'lawsuit', 'lawsuit', Biden, Duvall]"
25,EDPR brings Iberia's first wind-solar power plant on-stream,Extremely Positive,20,"['crisis', 'plot']",[],"[Duarte, Bello]"
26,Russian gas transit via Ukraine lower amid milder weather in Europe - source,Somewhat Negative,220,"['overwhelm', 'slow', 'collapse', 'CONFLICT', 'conflict', 'damaged', 'problems', 'declining']",[],"[Marina, Tsygankova, 'harassment']"
27,Putin oversees launch of Siberian gas field feeding pipeline to China,Extremely Positive,50,['limits'],[],"[Putin, Vladimir, Putin, 'harassment', Putin, Putin, Putin, Dmitry, Medvedev, Xi, Jinping, Medvedev]"
28,Russian pipeline gas exports to Europe collapse to a post-Soviet low,Extremely Negative,480,"['collapse', 'conflict', 'damaged', 'fall', 'leaks', 'damage', 'sabotage', 'false', 'collapse']",['Soviet'],"['harassment', Alexei, Miller, Vladimir, Putin, 'harassment', Jens, Stoltenberg, 'harassment']"
29,"Apple to start making its own custom screens for iPhone and Apple Watch, ditching partners like Samsung",Extremely Positive,50,['trick'],['blow'],"[Wei, Chen]"
