Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Seattle Schools Sue TikTok, Facebook, Instagram, Snapchat, and YouTube Over Students' Mental Health",Extremely Negative,1280,"['crisis', 'complaint', 'addicting', 'harmful', 'issues', 'difficult', 'sadness', 'hopelessness', 'expensive', 'crisis', 'damages', 'liable', 'harm', 'exploit', 'complaint', 'depression', 'hard', 'hard', 'toxic', 'issues', 'detriment', 'difficult', 'dispute', 'sue', 'harms', 'sued', 'allegations', 'sued', 'harmful', 'addicting', 'deceptive', 'liable', 'violation', 'breaks', 'harmful', 'cracks', 'depression']","['suicide', 'died', 'death', 'died', 'suicide', 'suicide', 'death', 'suicide', 'suicide']","['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Antigone, Davis, Davis, Molly, Russell, Russell]"
2,Snapchat has a hidden library of built-in games — here's how to play them with friends,Extremely Positive,0,[],[],[]
3,How to mute someone on Snapchat and limit notifications from them,Extremely Positive,20,"['disable', 'inundated', 'disable']",[],[]
4,"A lawsuit filed by Seattle's public schools accuses Meta, TikTok, Google, and Snapchat of creating a youth mental health crisis",Extremely Negative,630,"['accuses', 'crisis', 'accuses', 'crisis', 'crisis', 'harm', 'suffering', 'problems', 'worse', 'vulnerable', 'excessive', 'harmful', 'depression', 'emergency', 'failing', 'limits', 'harmful', 'issues', 'falls']",['abuse'],"['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Joe, Bidens, 'harassment', Antigone, Davis, Davis, Jack, Ma]"
5,How to use Quick Tap on Android 13,Extremely Positive,90,"['limit', 'envious', 'scratched', 'break', 'problem']",['itch'],[]
6,Seattle schools sue tech giants over social media harm,Extremely Negative,930,"['crisis', 'complaint', 'nuisance', 'worsening', 'anxiety', 'depression', 'disordered', 'difficult', 'vulnerable', 'excessive', 'complaint', 'Worse', 'harmful', 'liability', 'liable', 'harmful', 'disorder', 'crisis', 'crisis', 'issues', 'limit', 'sad', 'hopeless', 'nuisance', 'damages', 'excessive', 'problematic', 'harms', 'allege', 'suffered', 'complaint', 'worse']","['abuse', 'suicide', 'suicide']","['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Jos, Castaeda, Castaeda, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Frances, Haugen]"
7,‘I went downhill’: man falsely accused of rape on becoming a hate figure,Extremely Negative,1090,"['enemy', 'suspicion', 'raping', 'protested', 'violent', 'struggle', 'bruising', 'damage', 'Prison', 'scary', 'guilty', 'prison', 'suspicion', 'unlucky', 'false', 'allegation', 'fake', 'falsely', 'outcast', 'fatal', 'downhill', 'problems', 'ridiculous', 'trapped', 'prison', 'struggled', 'guilty']","['drunk', 'sex', 'rapist', 'rape', 'dirty', 'shag', 'sex', 'penis', 'rapist', 'rapist', 'killing']","[Trengove, Eleanor, Williams, Trengove, Williams, Ebony, Ebony, Trengove, Ebony, Williamss, Trengove, Williams, Williams, Trengove, 'harassment', Williams, Trengove, Barrow, Williamss, Trengove, Trengove, Eleanor, Williams, 'lawsuit', Trengove, Trengove, Williams, Trengove, Trengove, Trengove, Williamss, Trengove, Williams]"
8,Seattle public schools sue social media platforms for youth ‘mental health crisis’,Extremely Negative,990,"['accusing', 'crisis', 'exploit', 'harmful', 'vulnerable', 'excessive', 'harmful', 'anxiety', 'depression', 'sad', 'hopeless', 'issues', 'anxiety', 'depression', 'liable', 'harm', 'restrict', 'allegations', 'illogical', 'harmful', 'depressed', 'damages', 'nuisance', 'excessive', 'problematic']","['abuse', 'suicide', 'angry', 'angry', 'angry']","['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Jos, Castaeda, Mark, Zuckerberg, 'lawsuit', 'lawsuit', 'lawsuit']"
9,"Thanks to Google and Apple's taxes, web apps on Windows PC are suddenly getting good",Extremely Positive,470,"['Sadly', 'hostile', 'dark', 'notorious', 'monstrously', 'irritating', 'awful', 'lacked', 'dark', 'downfall', 'threats', 'sue', 'doubt', 'limited', 'blame', 'notoriously', 'detriment', 'dark', 'battering', 'controversial', 'attacks', 'battering', 'dead', 'problem', 'cry', 'breaking', 'problem']","['nasty', 'kill']","['lawsuit', Polarr, Clipchamp, 'lawsuit', Elon, Musk, 'harassment', Jez, Corden, Jez, JezCorden]"
10,Does Slack notify when you screenshot? What you need to know,Generally Neutral,110,"['Slack', 'Slack', 'doubt', 'Slack', 'Slack', 'Slack', 'concerned', 'Slack', 'Slack', 'Slack', 'Slack', 'Slack']",[],[]
