Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,The 10 biggest losers in the S&P 500 this year have seen $1.6 trillion in market value erased,Extremely Negative,800,"['losing', 'losses', 'losers', 'doubt', 'turbulent', 'losses', 'risky', 'dragged', 'fall', 'decline', 'carnage', 'negative', 'recession', 'fears', 'laid', 'declines', 'losers', 'Decline', 'difficult', 'inflationary', 'shallow', 'recession', 'Decline', 'rough', 'unexpected', 'issues', 'Decline', 'loud', 'Decline', 'lost', 'Decline', 'aggressive', 'debt', 'hurt', 'controversial', 'problems', 'fallen', 'Decline', 'infections', 'declines', 'Decline', 'hurt', 'fears', 'recession', 'rough', 'Decline', 'hurt', 'strict', 'Decline', 'pinch', 'challenging', 'Decline', 'slow']",['deposit'],"[Dan, Schulman, Schulman, Steve, Randle, Joe, DePaolo, Mark, Zuckerbergs, Zuckerbergs, Elon, Musk, Musk, 'lawsuit', Joe, Hogan]"
2,Match Group rolls out campaign to stop romance scams,Extremely Negative,430,"['scams', 'scams', 'exploitation', 'scams', 'scams', 'losses', 'scam', 'losses', 'unsuspecting', 'harms', 'scam', 'desperation', 'scams', 'bad']","['fraud', 'fraud']","[Buddy, Loomis]"
3,Guy Allegedly Stole Hundreds Of Thousands From Work And Then Lost It All On GameStop,Extremely Negative,520,"['stealing', 'revenge', 'lost', 'audacious', 'stole', 'unclear', 'unable', 'stealing', 'unclear', 'exorbitant']",['Crime'],"[Ermenildo, Ernie, Castro, 'lawsuit', 'lawsuit', 'lawsuit', Castro, 'lawsuit', Castro, Castro, Castro, Castros, Castro, Zulily, Castro, Castro, Castro, Zulily, Castro, 'lawsuit', Castros, Castros, Castro, Castros, 'lawsuit', Castro]"
4,Fiction to look out for in 2023,Somewhat Positive,330,"['unproductive', 'virus', 'inevitable', 'clash', 'Sting', 'violent', 'Furious', 'misfit', 'Unfinished', 'sad', 'devastating', 'dark', 'dying', 'darkness']","['adult', 'died', 'sex', 'Fraud']","[Bret, Easton, Ellis, Salman, Rushdie, Eleanor, Catton, Benjamin, Myers, Cuddy, Bloomsbury, Shy, Faber, Deborah, Levy, Blue, Hamish, Hamilton, Amanda, Craig, Richard, Fords, Frank, Bascombe, Bascombe, Paul, Murray, Hamish, Hamilton, Lorrie, Moores, Aybmi, Adby, Caleb, Azumah, Nelsons, Guy, Gunaratne, Yahya, Bas, Richards, Mat, Osman, Michael, Bracewell, Meg, Clothier, Umberto, Eco, Beatrice, Wang, Xiaobo, Yan, Yan, Han, Kang, Deborah, Smith, Emily, Yae, Won, James, Hynes, Sparrow, Zadie, Smith, Hamish, Hamilton, Sebastian, Faulkss, Modern]"
5,‘I went downhill’: man falsely accused of rape on becoming a hate figure,Extremely Negative,1090,"['enemy', 'suspicion', 'raping', 'protested', 'violent', 'struggle', 'bruising', 'damage', 'Prison', 'scary', 'guilty', 'prison', 'suspicion', 'unlucky', 'false', 'allegation', 'fake', 'falsely', 'outcast', 'fatal', 'downhill', 'problems', 'ridiculous', 'trapped', 'prison', 'struggled', 'guilty']","['drunk', 'sex', 'rapist', 'rape', 'dirty', 'shag', 'sex', 'penis', 'rapist', 'rapist', 'killing']","[Trengove, Eleanor, Williams, Trengove, Williams, Ebony, Ebony, Trengove, Ebony, Williamss, Trengove, Williams, Williams, Trengove, 'harassment', Williams, Trengove, Barrow, Williamss, Trengove, Trengove, Eleanor, Williams, 'lawsuit', Trengove, Trengove, Williams, Trengove, Trengove, Trengove, Williamss, Trengove, Williams]"
6,'Fleishman Is in Trouble' Is One of the Best TV Shows of 2022,Extremely Positive,620,"['Trouble', 'limited', 'sad', 'sack', 'anxious', 'hate', 'broken', 'unlucky', 'disorder', 'drowning', 'opinionated', 'sardonic', 'reluctant', 'sad', 'sack', 'issues', 'blunt', 'resentment', 'anxieties', 'unexpectedly', 'retreat', 'inconvenience', 'dread', 'misses', 'terrible', 'panic', 'bad', 'terrible', 'distracting', 'crazy', 'limits', 'trouble', 'mystery', 'plot', 'excuse', 'odd', 'cliche', 'slow']","['sex', 'sex', 'boob', 'boob', 'damn']","[Woody, Allen, Taffy, BrodesserAkners, novel, Toby, Fleishman, Jesse, Eisenberg, Tobys, Toby, Lizzy, Caplans, Caplan, Tobys, Libby, Libbys, Toby, Adam, Brody, Seth, Tobys, Rachel, Fleishman, Claire, Danes, Toby, Rachel, Toby, Rachel, Toby, Libby, Toby, Libbys, Libbys, Tobys, Rashomonstyle, Lauren, Groffs, Fleishmans, J., Smith, Cameron, Tobys, Fleishman, Rachels, Hulus, BrodesserAkner, Tobys]"
7,No Headline,Extremely Negative,660,"['ghosting', 'ghosting', 'fallen', 'Ghosting', 'Lack', 'annoying', 'demoralizing', 'Ghosting', 'breaking', 'ghosting', 'harsh', 'cold', 'Ghosting', 'ghosting', 'rejection', 'hurts', 'wrong', 'wrong', 'worse', 'ghosting', 'frustration', 'lost', 'Ghosting', 'downsides', 'worse', 'vile', 'worried', 'ghosting', 'mistakes', 'mistake', 'lie', 'intrude', 'worries', 'worry', 'Fault', 'fault', 'ghosting', 'blame', 'paranoid', 'burden', 'burden', 'bothered', 'worry', 'brutal', 'Worse', 'break', 'awkward']",[],[]
8,The Magnificently Stupid IRL 'Office Space' Caper,Extremely Positive,200,"['accusing', 'wrong', 'sneaky', 'flair', 'losing']","['Stupid', 'dumbass']","[Drax, Ermenildo, Ernie, Castro, Castro, Peter, Gibbons, Castro, Castro, Castro, Castro, 'lawsuit', 'lawsuit']"
9,Ms Marvel to Atlanta: it’s the ultimate festive streaming guide!,Extremely Positive,1390,"['traitorous', 'betrayal', 'Rogue', 'dark', 'struggling', 'unexpected', 'fetid', 'ruin', 'evil', 'complicated', 'unpopular', 'funny', 'traumatic', 'fails', 'impoverished', 'backwoods', 'Slow', 'languish', 'Slow', 'dissolute', 'disgraced', 'misfit', 'lack', 'virus', 'laid', 'waste', 'perilously', 'jagged', 'mystery', 'Stranger', 'Sin', 'dark', 'prison', 'breaks', 'loose', 'fragile', 'funny', 'loss', 'melancholy', 'Crook', 'funny', 'Scared', 'macabre', 'darker', 'inescapable', 'strange', 'restless', 'bleak', 'dull', 'uncomfortable', 'wrong', 'difficult', 'fiction', 'blur', 'freak', 'uneasy', 'disses', 'Frozen', 'fragile', 'deceptively', 'peculiar', 'awkward', 'relentlessly', 'collapse', 'utterly', 'tragic', 'startling', 'risks', 'glut', 'enraging']","['queer', 'corruption', 'crime', 'radical', 'porn', 'murder', 'murder', 'crime', 'hell', 'adult', 'refugee', 'Adult', 'Fire', 'died']","[Abbi, Jacobson, DArcy, Carden, Chant, Adams, Kim, Philby, Guy, Pearce, Philbys, Damian, Lewis, Anna, Maxwell, Martin, Diego, Luna, Boris, Johnson, Dan, Stevens, Julia, Robertss, Martha, Mitchell, George, Tammy, Paramount, Tammy, Wynette, George, Jones, Jessica, Chastain, Michael, Shannons, Sarah, Lancashire, Catherine, Cawood, James, Nortons, Tommy, Lee, Royce, Ryan, Ophelia, Lovibond, Joyce, Doug, Jake, Johnson, Ms, Marvel, Disney, Kamala, Khan, Iman, Vellani, Kamala, William, Gibson, Gary, Oldmans, Jackson, Lamb, Tim, Burtons, Addams, Vicky, McClure, Johnny, Harris, McClure, Stella, Tomlinson, Charles, Stone, Harris, Dylan, Llewellyn, Jack, Danny, Jon, Pointing, Danny, Jacks, Mackenzie, Crook, Toby, Joness, Andy, Lance, John, Wilson, Louis, Therouxstyle, Jonathan, Meades, Wilson, Wilson, Liam, Williamss, Mo, Netflix, Mo, Amer, Mohammed, Najjar, Nathan, Fielder, Fielder, Stewart, Lee, SnowflakeTornado, Alan, Bennett, David, Attenboroughs, Pallass, Cat, Joe, Pera, Pera, Lizzo, Lizzo, Adam, Curtis, Werner, Herzogs, Katia, Maurice, Krafft, Simon, Leviev, Levievs]"
10,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy,Extremely Negative,680,"['damage', 'lost', 'loss', 'disadvantaged', 'rival', 'forbid', 'downside', 'negative', 'losing', 'doomsday', 'problems', 'unnecessary', 'unable', 'threatening', 'risk', 'worst', 'concern', 'loss', 'guilty', 'gripe', 'lose', 'sketchy', 'concern', 'struck', 'inevitable', 'risk']","['fear', 'welfare']","[Ian, Rickman, Rickman, God, Rickman, Guto, Bebb, 'harassment', 'lawsuit', Bebb, Rickmans, Rickman, Rickman, George, Eustice, James, Dyson, Paul, Dacre, Langwell, 'harassment', Rickman, Rickman, Bebb, Nick, von, Westenholz, Von, Westenholz, Von, Westenholz, Von, Westenholz, Thrsa, Coffey]"
