Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Tata considers India, Europe for EV cell manufacturing plants",Somewhat Positive,0,[],[],"[B., Balaji, Balaji, Balaji, NS, Warren, Buffetbacked]"
2,"India's TCS Q3 misses view, flags challenges in Europe",Somewhat Negative,230,"['misses', 'missed', 'rough', 'wane', 'slowed', 'fears', 'recession', 'recession', 'volatile']",['period'],"['hate speech', Rajesh, Gopinathan, Gopinathan]"
3,Air India criticised by regulator over handling of unruly passenger on flight,Extremely Negative,360,"['unruly', 'criticism', 'unruly', 'unruly', 'concerned', 'failing', 'unruly']","['failure', 'fight']","['hate speech', 'hate speech']"
4,Indian shares end higher tracking broad gains; Q3 results eyed,Extremely Positive,120,"['risky', 'aggressive', 'loss', 'slowed', 'worries', 'bias', 'negative', 'falling']",['loser'],"[Ajit, Mishra, 'hate speech']"
5,"Indian shares rebound on slide in oil prices, Dec F&O series expiry",Extremely Negative,310,"['concerns', 'volatility', 'fallen', 'losses', 'crude', 'fell', 'concerns', 'decline', 'crude', 'fall', 'crude', 'expired']",[],"[Neeraj, Dewan, Shrikant, Chouhan]"
6,Wells Fargo terminates employee over unruly behaviour on Air India flight,Extremely Negative,250,"['unruly', 'allegations', 'criticism']",[],['lawsuit']
7,Indian shares rise for seventh year; but slip in final session of 2022,Generally Neutral,150,"['choppy', 'dragged', 'decline', 'fell', 'recession', 'worries', 'polarisation', 'poor', 'resistance', 'weak', 'losing']",['remains'],"[Lakshmi, Iyer, Deepak, Jasani, 'hate speech']"
8,India's Infosys lifts FY rev view on strong deal momentum,Extremely Positive,80,"['rival', 'missed', 'rough', 'fell']",['Gross'],"[Salil, Parekh, Parekhs, 'hate speech']"
9,China's BYD to launch luxury electric sedan in India this year,Extremely Positive,20,"['limit', 'clash', 'disputed']",[],"[Warren, Buffettbacked]"
10,India's HCLTech beats Q3 profit on strong deal wins,Extremely Positive,40,"['delays', 'rival', 'warned', 'rough', 'rival']",[],"[C, Vijayakumar]"
11,India's Cyient reports strong Q3 revenue as acquisitions pay off,Extremely Positive,50,"['weak', 'uncertain', 'issue', 'fears', 'recession', 'missed']",[],[]
12,"India's auto show set to feature electric cars, scooters",Extremely Positive,40,[],['remains'],['hate speech']
