Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
4,Dog starts house fire after turning on hairdryer,Extremely Negative,440,[],"['fire', 'fire', 'Fire', 'fire', 'fire']","['hate speech', 'hate speech', 'hate speech', 'hate speech', Gary, Shinn, 'hate speech']"
8,"Eleven people attacked by dog in Hamilton, owner charged",Extremely Negative,3340,[],"['attack', 'attack', 'weapon', 'died', 'criminal', 'death', 'assault', 'weapon', 'dead', 'died', 'explosion', 'explosion', 'fight', 'Liberal', 'weapon', 'shooting', 'explosion', 'explosion', 'fire', 'crash', 'crash', 'sexual', 'assault', 'sexual', 'assault', 'dead', 'fire', 'dead', 'fire', 'shooting', 'explosion', 'explosion', 'fire', 'died', 'murder', 'murder', 'fire', 'died', 'death', 'death', 'death', 'explosion', 'black', 'died', 'crash', 'crash', 'cocktail', 'cocktail', 'sexual', 'assault', 'rapist', 'killed', 'banging']","['hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'harassment', 'hate speech', Robbie, Bachman, 'hate speech', Robbie, Bachman, 'hate speech', 'hate speech', 'hate speech', 'hate speech', Vladimir, Putin, 'hate speech', Sean, Fraser, 'hate speech', 'hate speech', Tim, Cook, Tim, Cook, Cook, 'hate speech', 'hate speech', Anthony, Robertson, 'hate speech', 'hate speech', 'hate speech', Michael, Oakes, 'lawsuit', 'hate speech', 'harassment', 'hate speech', 'harassment', 'hate speech', 'harassment', 'hate speech', 'harassment', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'lawsuit', 'lawsuit', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'lawsuit', 'lawsuit', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'hate speech', 'harassment', 'hate speech', 'harassment', 'hate speech', Matthew, McKnights, 'hate speech', Jasjeet, Kaur, 'hate speech']"
10,Brazilian 'Mad Dog' Freire killed in Nazare,Extremely Negative,640,[],"['Mad', 'killed', 'American', 'died', 'failed', 'Mad', 'Mad', 'American', 'German']","['hate speech', Freire, 'hate speech', Garrett, McNamaras, 'hate speech', Marcio, Freire, 'hate speech', 'hate speech', Freire, 'hate speech', 'hate speech', Nic, von, Rupp, Marcio, Freire, Fred, Pompermayer, 'hate speech', Garrett, McNamara, Rodrigo, Koxa, McNamaras, 'hate speech', Sebastian, Steudtner]"
12,You be the judge: should my girlfriend’s dog stop sleeping in our bed?,Extremely Negative,470,[],"['gross', 'harder', 'gross', 'gross', 'hell']","['lawsuit', Ronnie, Luna, 'hate speech', Tilda, Luna, Luna, Tilda, Luna, Tilda, Tilda, Lunas, 'hate speech', Luna, 'hate speech', Tilda, Tilda, Tilda, Luna, Luna, Tilda, Luna, Lunas, Tilda, Tilda, Luna, Tilda, Tilda, Ronnie, Luna, Luna, Ronnie, Luna, Ronnie, Luna, Ronnie, 'hate speech', Luna, Luna, Ronnie, Ronnie, Luna, Ronnie, Ronnie, Luna, Ronnies, Luna, 'hate speech', Luna, Joel, Luna, Tilda, Ronnies, Luna, Veronica, Tilda, Ronnie, Luna, Luna, Ronnie, Tilda, Luna, Sarah, Tilda, Tilda, Luna, Verity, 23, Tilda, Lunas, Jane, Donald, Daisy, Donald, Donald]"
16,Rescuers save 'mermaid' dog trapped for days on Chilean river,Extremely Negative,290,[],"['American', 'black']","['hate speech', 'hate speech', Norman, Ahumada, Sirena]"
17,"
Hackaday
",Extremely Negative,190,[],[],[]
18,"A dog was found abandoned outside an airport after its owner was stopped from taking it on a flight, animal shelter says",Extremely Negative,240,[],['illegal'],"[Allie, 'hate speech', Jack, Ma]"
19,The VC dream machine pumped out one dumb startup after another. 2023 should put an end to that.,Extremely Negative,850,[],"['dumb', 'dumb', 'hell', 'hole', 'sexual', 'German', 'period', 'bigger', 'bigger', 'dumb']","['hate speech', 'hate speech', Elizabeth, Holmes, hubris, Travis, Kalanick, 'hate speech', Sam, BankmanFried, 'hate speech', 'hate speech', 'harassment', 'harassment', 'lawsuit', 'hate speech', 'lawsuit', Rob, Kniaz, Kniaz, 'hate speech', 'hate speech', 'hate speech', Kniaz, Kniaz, 'hate speech', Jack, Ma]"
20,'There are no rules right now': South Carolina Congresswoman brought her dog to historic multiday House Speaker vote,Extremely Negative,290,[],"['period', 'American']","[Nancy, Mace, Libby, Libby, Nancy, Maces, Libby, Kevin, McCarthys, Libby, Mace, Libby, Libby, Libby, RunningToTheFloor, Mace, Nancy, Mace, RepNancyMace, Mace, Libby, Nancy, Mace, RepNancyMace, Libby, McCarthy, 'hate speech', McCarthy, 'hate speech', Jack, Ma]"
21,"The real dog behind the ""doge"" memes has cancer",Extremely Negative,240,[],['disease'],"[Kabosu, 'hate speech', Atsuko, Sato, Kabosu, Kabosu, Sato, Kabosu, Satos]"
23,"Dog that inspired ‘Doge’ meme has leukemia and liver disease, owner says",Extremely Negative,340,[],"['disease', 'cancer', 'sick']","['hate speech', Atsuko, Sato, 'hate speech', Sato, Kabosu, Sato, Kabosu, Kabosu, Sato, Kabosu, 'hate speech', Sato, Kabosu, Kabosu, Sato, Sato, Kabosu, Sato, Kabosu, Kabosu, alrite, you, Kabosu, Kabosu, doge, Doge]"
24,"Tail does not wag the dog when it comes to agility, scientists find",Somewhat Negative,140,[],['fear'],"[Ardian, Jusufi, 'hate speech']"
