Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"GM, Ford, Google partner to promote 'virtual' power plants",Extremely Positive,30,['explosive'],[],"[Mark, Dyson, 'lawsuit', Rob, Threlkeld, Parag, Chokshi]"
2,Doug Ford says Bill 124 'doesn’t exist' as his government appeals court decision striking it down,Extremely Negative,3710,"['struck', 'lapsed', 'unconstitutional', 'limits', 'interferes', 'crisis', 'shortage', 'burden', 'knock', 'chill', 'risk', 'warning', 'freezing', 'cold', 'refuse', 'Rifts', 'rival', 'distraught', 'worried', 'worried', 'threaten', 'warning', 'freezing', 'warning', 'vulnerable', 'intense', 'fatal', 'fatal', 'Subdued', 'cold', 'stole', 'accusations', 'damaging', 'guilty', 'damaging', 'WARNING', 'WARNING', 'warning', 'tragically', 'deadly', 'damaging', 'guilty', 'damaging', 'Suspect', 'stunt', 'stealing', 'complaints', 'danger', 'complaints', 'nuisance', 'crashes', 'messy', 'freezing', 'Emergency', 'crisis', 'emergency', 'toll', 'emergency', 'suspect', 'delayed', 'delay', 'guilty', 'steal', 'steal', 'hang', 'fatal', 'loss', 'illness', 'guilty', 'guilty', 'emergency', 'chaos', 'emergency', 'damaged', 'Scared']","['willy', 'Liberal', 'dead', 'died', 'explosion', 'explosion', 'fight', 'death', 'weapon', 'shooting', 'Liberal', 'explosion', 'explosion', 'fire', 'crash', 'crash', 'sexual', 'assault', 'sexual', 'assault', 'dead', 'fire', 'dead', 'fire', 'explosion', 'explosion', 'fire', 'died', 'murder', 'murder', 'died', 'death', 'shooting', 'fire', 'death', 'death', 'explosion', 'died', 'crash', 'crash', 'cocktail', 'cocktail', 'sexual', 'assault', 'rapist', 'killed', 'banging']","[Doug, Ford, Doug, Ford, Ford, Fords, Adil, Shamji, Shamji, Ford, Ford, Robbie, Bachman, Robbie, Bachman, Vladimir, Putin, Lisa, Marie, Presley, Lisa, Marie, Presley, Elvis, Sean, Fraser, Anthony, Robertson, Michael, Oakes, 'lawsuit', 'harassment', 'harassment', 'harassment', 'harassment', 'lawsuit', 'lawsuit', 'lawsuit', 'harassment', 'harassment', Matthew, McKnights, Jasjeet, Kaur]"
3,We were all fans of Ken Block,Extremely Positive,560,"['hard', 'hang', 'Slow', 'obscure', 'limited', 'misleading', 'Furious', 'lost', 'raked', 'Furious', 'hard', 'miserable']","['bigger', 'bigger', 'bigger', 'amateur', 'bigger', 'bigger', 'bigger', 'bigger', 'hell']","[Ken, Block, Blocks, Ken, Block, Tony, Hawk, John, Cardiel, Eric, Koston, Ken, Block, Block, Damon, Way, Danny, Way, Block, Way, Block, Ken, Block, Block, Damon, Way, Ken, Block, Block, Block, Travis, Pastrana, Pastrana, Block, Block, Ken, Block, Pastrana, Block, Colin, McRae, Ken, Block, Block, Ken, Block, Jeremy, Clarkson, Richard, Hammond, James, May, Blocks, Block, Block, Captain, Slow, Ken, Block, Block, Block, Block, Ken, Block, Block, Block, Lia, Ken, Block, Lia, Block, Block, Block, Block, Ken, Block]"
4,Doug Ford says Bill 124 ‘doesn’t exist’ as his government appeals court decision striking it down,Extremely Negative,380,"['struck', 'lapsed', 'unconstitutional', 'limits', 'interferes', 'crisis', 'shortage', 'burden', 'knock']","['willy', 'Liberal']","[Doug, Ford, Doug, Ford, Ford, Fords, Ford, Adil, Shamji, Shamji, Ford, Ford]"
5,"Tesla could still fall more than 60% if it's valued as a traditional automaker like Ford or General Motors, CIO says",Somewhat Negative,240,"['worst', 'decline', 'falling', 'weary', 'fall', 'falling', 'concerns', 'fell', 'decline', 'decline']",['gross'],"[Vahan, Janjigian, Elon, Musks, Vahan, Janjigian, Elon, Musks, Janjigian, Janjigian, Janjigian, Janjigian]"
6,Take a look inside the factory where Ford's cranking out the all-electric F-150 Lightning pickup,Somewhat Positive,0,[],[],[]
7,Ford reports smaller drop in 2022 U.S. sales as inventory levels improve,Generally Neutral,40,"['decline', 'fell', 'snags', 'fell', 'fell']",[],[]
8,TikTok car-fishing craze leads to closure of ancient Rufford ford,Extremely Negative,540,"['unable', 'begging', 'concern', 'obsessive', 'pain', 'idiots', 'bad', 'worse', 'failing', 'wanton', 'stupidity', 'failing', 'wrong', 'hard', 'intense', 'hazard', 'complaints', 'danger', 'hazard', 'tragedy']","['fire', 'failure', 'fire']","[Adam, Neil, Clarke, Clarke, Ben, Gregory, Gregory, He, d, Clarke, Clarke]"
9,Francis Ford Coppola denies report his new film set is ‘chaos’,Extremely Negative,370,"['denied', 'allegations', 'chaos', 'Apocalypse', 'struggling', 'madness', 'issues', 'unclear', 'issues', 'resigned', 'plot', 'crisis', 'cripples', 'chaotic', 'madness']",[],"[Francis, Ford, Coppola, 'lawsuit', Coppola, Coppola, Adam, Driver, Nathalie, Emmanuel, Aubrey, Plaza, Forest, Whitaker, Dustin, Hoffman, Coppola, Driver, Coppola, Val, Kilmer, Elle, Fanning, Catherine, Shoard]"
10,Ozy Media sued in N.Y. court over $1.3 mln legal tab,Extremely Negative,770,"['sued', 'complaint', 'sued', 'embattled', 'subpoenas', 'isolated', 'sued', 'complaint', 'debts', 'complaint', 'fall', 'shocking', 'sues', 'fake']","['failed', 'fraud', 'illegal', 'fraud']","['lawsuit', Ford, OBrien, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Samir, Rao, 'lawsuit', Rao, Kevin, OBrien, 'lawsuit', Kevin, OBrien, 'lawsuit']"
