Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Disney+ is adding DTS audio to IMAX Enhanced Marvel films,Extremely Positive,0,[],[],[]
2,A Stan Lee documentary will hit Disney+ next year,Extremely Positive,60,"['critical', 'unclear']",['died'],"[Stan, Lees, Lee, Lees]"
3,RRR Star NTR Jr. Is Ready Anytime for the Marvel Cinematic Universe,Extremely Positive,10,['enemy'],[],"[NTR, Jr., Ram, Charan, NTR, Jr., Simon, Masrani, Irrfan, Khan, Rajamouli, Rajamouli]"
4,Disney Will Celebrate the Legacy of Stan Lee With New Streaming Documentary,Extremely Positive,20,"['hard', 'heartbreakingly']",[],"[Stan, Lee, Leewell, Lee, Lee]"
5,"In the New Ant-Man and the Wasp: Quantumania Trailer, It's Kang Time (Literally)",Somewhat Positive,30,"['foe', 'mistake', 'lost', 'unimaginable']",[],"[Scott, Langs, new, Jonathan, Majors, Kang, Paul, Rudds, Scott, Scott, Kang, Cassie, Kathryn, Newton, Kangs, Evangeline, Lilly, Hope, Van, Dyne, Michael, Douglas, Hank, Pym, Michelle, Pfieffer, Janet, Van, Dyne, Peyton, Reed]"
6,This Week's Toy News Won't Be Found Under This Year's Christmas Tree,Extremely Negative,460,"['split', 'Sue']","['horn', 'Hell', 'hell', 'hell', 'pistol']","[Boromir, Asmus, Boromir, Boromir, Franklin, Richards, Sue, Reeds, Franklin, Richards, Boba, Fett, Temuera, Morrisons, Boba, Mantis, Mantis, Mantis, Kevin, Bacons, Mantis, Mantis]"
7,Ms Marvel to Atlanta: it’s the ultimate festive streaming guide!,Extremely Positive,1390,"['traitorous', 'betrayal', 'Rogue', 'dark', 'struggling', 'unexpected', 'fetid', 'ruin', 'evil', 'complicated', 'unpopular', 'funny', 'traumatic', 'fails', 'impoverished', 'backwoods', 'Slow', 'languish', 'Slow', 'dissolute', 'disgraced', 'misfit', 'lack', 'virus', 'laid', 'waste', 'perilously', 'jagged', 'mystery', 'Stranger', 'Sin', 'dark', 'prison', 'breaks', 'loose', 'fragile', 'funny', 'loss', 'melancholy', 'Crook', 'funny', 'Scared', 'macabre', 'darker', 'inescapable', 'strange', 'restless', 'bleak', 'dull', 'uncomfortable', 'wrong', 'difficult', 'fiction', 'blur', 'freak', 'uneasy', 'disses', 'Frozen', 'fragile', 'deceptively', 'peculiar', 'awkward', 'relentlessly', 'collapse', 'utterly', 'tragic', 'startling', 'risks', 'glut', 'enraging']","['queer', 'corruption', 'crime', 'radical', 'porn', 'murder', 'murder', 'crime', 'hell', 'adult', 'refugee', 'Adult', 'Fire', 'died']","[Abbi, Jacobson, DArcy, Carden, Chant, Adams, Kim, Philby, Guy, Pearce, Philbys, Damian, Lewis, Anna, Maxwell, Martin, Diego, Luna, Boris, Johnson, Dan, Stevens, Julia, Robertss, Martha, Mitchell, George, Tammy, Paramount, Tammy, Wynette, George, Jones, Jessica, Chastain, Michael, Shannons, Sarah, Lancashire, Catherine, Cawood, James, Nortons, Tommy, Lee, Royce, Ryan, Ophelia, Lovibond, Joyce, Doug, Jake, Johnson, Ms, Marvel, Disney, Kamala, Khan, Iman, Vellani, Kamala, William, Gibson, Gary, Oldmans, Jackson, Lamb, Tim, Burtons, Addams, Vicky, McClure, Johnny, Harris, McClure, Stella, Tomlinson, Charles, Stone, Harris, Dylan, Llewellyn, Jack, Danny, Jon, Pointing, Danny, Jacks, Mackenzie, Crook, Toby, Joness, Andy, Lance, John, Wilson, Louis, Therouxstyle, Jonathan, Meades, Wilson, Wilson, Liam, Williamss, Mo, Netflix, Mo, Amer, Mohammed, Najjar, Nathan, Fielder, Fielder, Stewart, Lee, SnowflakeTornado, Alan, Bennett, David, Attenboroughs, Pallass, Cat, Joe, Pera, Pera, Lizzo, Lizzo, Adam, Curtis, Werner, Herzogs, Katia, Maurice, Krafft, Simon, Leviev, Levievs]"
8,'Ant-Man and the Wasp: Quantumania' Trailer Reveals Kang's Villainous Temptation,Somewhat Positive,150,"['bad', 'lost', 'trapped', 'bad', 'unclear', 'terrible']","['hell', 'Killing']","[Kang, the, Conqueror, Jonathan, Majors, Paul, Rudds, Scott, Lang, Kang, Scott, Cassie, Kathryn, Newton, Janet, van, Dyne, Michelle, Pfeiffer, Kang, MODOK, Patton, Oswalt, Cassie, Cassie, Scott, Hope, van, Dyne, Evangeline, Lilly, Hopes, Janet, van, Dyne, Hank, Pym, Michael, Douglas]"
9,"Jeremy Renner, Marvel's Hawkeye, has surgery after snow plow accident",Generally Neutral,200,"['critical', 'suffering', 'traumatic', 'injury', 'suffered', 'blunt', 'trauma', 'overwhelmed', 'Hurt', 'Hurt', 'Impossible', 'warning', 'joke', 'warned', 'traumatic', 'injury']",['Fire'],"[Jeremy, Renner, Hawkeye, Jeremy, Renner, Hawkeye, Renner, Samantha, Mast, Jeremys, Hillary, Schieve, Carano, Murdock, Renner, Renner, Renner, Renner, Renner, Renner]"
10,Marvel may delay Disney-plus content,Generally Neutral,60,"['unknown', 'obscure', 'fatigue', 'plot', 'delay', 'fall', 'Chaos']",[],[]
11,The Morning After: The winners and losers in tech this year,Extremely Positive,470,"['failures', 'messes', 'ugh', 'worst', 'awful', 'collapse', 'precarious', 'mess', 'struggled', 'misses', 'missed', 'fall', 'rival', 'critical', 'invasive', 'painful', 'abnormal', 'illness']","['died', 'disease', 'disease', 'disease', 'disease', 'diseases']","[Mat, Smith, Andy, Jassy, Stan, Lee, Lees, Stan, Lees, Lee]"
12,Jeremy Renner thanks staff at ICU for ‘beginning this journey’ to recovery,Extremely Positive,30,"['suffering', 'blunt', 'trauma', 'messed']",[],"[Jeremy, Renner, Hawkeye, Renner, Renner]"
13,Marvel Bringing Official Stan Lee Documentary to Disney Plus in 2023,Extremely Positive,40,[],['died'],"[Stan, Lees, Lee, Stan, Lee, Lee, Lees, Lee]"
14,"
			Deepak Chopra Invites Everyone Into His Metaverse Home
		",Extremely Positive,280,"['limits', 'concern', 'lies', 'Limits', 'Breakdown', 'hurt', 'bad', 'unknown', 'cold', 'dark', 'unforgiving', 'unrelenting', 'laid', 'Layoff', 'Skeptic', 'Divisive']",['adult'],"[Deepak, Chopra, Poonacha, Machaiah, Deepak, Chopra, Indiana, Jones, Chopra, Poonacha, Machaiah, Machaiah, Chopra, Chopra, Machaiah, Elizabeth, Elizabeth, Shekhar, Kapur, Machaiah, Chopra, Deepak, Machaiah, Chopra, Machaiah, Poonacha, Machaiahs, Deepak, Chopra, Machaiah, Chopra, Machaiah, Oprah, Chopra, Deepak, Chopras, Chopra, Chopra, Machaiah, 'lawsuit', Chopras, Machaiahs, Chopra, Machaiah, Deepak, Chopra, Poonacha, Machaiah, 'harassment', Elon, Musk]"
15,Nope's Excellent Script Is Available to Read Online,Extremely Positive,10,['hype'],[],"[Jordan, Peele, Peele, Nopes]"
16,Brendan Fraser Would Absolutely Sign Up for a Mummy Reboot,Extremely Negative,250,['bad'],['die'],"[Brendan, Fraser, Tom, Cruise, Fraser, Fraser, Fraser, Rick, OConnell, Fraser]"
17,Exclusive Marvel Night Show With 500 Drones Coming to a Disney Park,Extremely Positive,70,"['drones', 'illusions', 'danger']",['Terror'],"[Mysterios, Thanos, Mickey, Mouses]"
18,Chainsaw Man's Latest Ending Song Has a Bloody Great Music Video,Extremely Positive,260,"['chill', 'demonic']","['Fight', 'Devil', 'Fight', 'fight', 'shooting']","[Eve, Marie, Yasui, Mariyasu, Eves, Denji, Power, Aki, the, Katana, Devil]"
19,"China continued to reject Marvel movies in 2022, and the country's box office plummeted 36%",Extremely Negative,410,"['lost', 'hurt', 'Needless', 'Strange', 'Madness', 'denied', 'denied', 'Madness', 'criticism', 'worse', 'smash', 'falls']","['reject', 'Communist']","[Jack, Ma]"
20,Avatar: The Way of Water Won't Be Getting a Director's Cut,Somewhat Positive,0,[],[],"[James, Cameron, Denis, Villeneuve, Cameron, Jon, Landau, Landau, Jim, Cameron, Laundau]"
21,Leslie Grace Reveals the Final Batgirl Costume That Could've Been,Somewhat Positive,50,['mystery'],['hell'],"[Leslie, Grace, Barbara, Gordon, Grace, Grace, Batgirl, Barbaras, Batgirl, Batman, Barbaras]"
22,Beau Is Afraid Looks Like a Horror Flick for Joaquin Phoenix Only,Somewhat Negative,310,"['Afraid', 'twist', 'bizarre', 'threatening', 'disturbing', 'cartoonish', 'Afraid']","['desire', 'hell', 'hell']","[Ari, Aster, Joaquin, Phoenix, Aster, Phoenix, Beaus, Beau, Nathan, Lane, Beau, Aster, Nathan, Lane, Amy, Ryan, Stephen, McKinley, Henderson, Zoe, ListerJones, Armen, Nahapetian, Parker, Posey, Patti, LuPone]"
23,Jeremy Renner Shares First Video From ICU Since Snowplow Accident,Somewhat Positive,50,"['suffering', 'blunt', 'trauma', 'stuck', 'tragic', 'messed']",[],"[Jeremy, Renner, Renner, Renner, Hillary, Schieve, Darin, Balaam, Renners, Balaam, Renner, Renner, Renner]"
24,3 Music Legends Collaborated on One Nintendo Game. Sparks Flew,Extremely Negative,220,"['chaotic', 'Raving', 'breaks']",[],"[Mario, Mario, Shigeru, Miyamoto, Davide, Soliani, Soliani, Mario, Mario, Soliani, Grant, Kirkhope, Kirkhope, Romain, Brillaud]"
25,No Headline,Extremely Negative,220,"['Stark', 'drastically', 'Stark']",[],"[Terrence, Howard, Terrence, Howard, Howard, Howard, James, Rhodes, Tony, Stark, Howard, Howard, Howard, James, Rhodes, Howard, Robert, Downey, Jr., Tony, Stark, Howard, Downey, Jr., Iron, Man, Howard, Andy, Cohen, Howard, Howard, Sway, Calloway, Howard, Don, Cheadle]"
26,"In a Painful Year, Romance Nerds Embraced Radical Pleasure",Extremely Positive,420,"['fiction', 'fiction', 'illness', 'trauma', 'hate', 'wrong', 'prejudice', 'cry', 'audacity', 'lacking', 'lacking', 'disabled', 'gasp']","['poverty', 'sex', 'queer', 'sexual']","[bell, hooks, Darcy, Lucy, Honeychurch, Anne, Shirley, Sarah, MacLean, 'harassment', Amanda, Pagan, Jane, Austen, Charlotte, Bront, Janice, Radway, Radways, no, Henry, Jenkins, Jane, McGonigal, Radway, Radway, 'harassment']"
27,"If You Get This New Marvel Snap Location, You’re Gonna Have A Bad Time",Generally Neutral,370,"['worst', 'brutal', 'bugs', 'bad', 'unfamiliar', 'annoying', 'awfully', 'discord', 'wrong', 'explode', 'hung', 'freaking', 'mischievous', 'fiend', 'wrong', 'utterly', 'broken', 'Sorry']","['shit', 'die', 'pissed', 'dies']","[Thanos, Gamora, Red, Skull, vormir, Alyssa, Mercante, Sabretooth, Vormir, Jeb, Biggarts, Vormir, Vormirs, Isaac, Newtons, Green, Goblin, Angel]"
28,We're getting a Stan Lee documentary from Disney Plus,Extremely Positive,20,"['fall', 'zombie', 'insular']",[],"[Stan, Lee, Stan, The, Man, Lee, Stan, Lee, Lee, Lees, Stan, The, Man, Lee, Stan, Lee, Jack, Kirby]"
29,"
      The Golden Globes return, honoring ‘The Fabelmans’ and ‘Banshees’ while addressing its controversy
    ",Somewhat Positive,390,"['controversy', 'absence', 'scandal', 'embattled', 'lack', 'lapses', 'uncomfortable', 'criticism', 'broke', 'split', 'controversy', 'gritty', 'chaotic', 'ignore', 'imperious', 'limited', 'joke', 'controversy', 'joke', 'slap', 'invisible']","['Gun', 'Doom']","[Steven, Spielbergs, 'lawsuit', Jerrod, Carmichael, Black, Carmichael, Fabelmans, Spielberg, Martin, McDonagh, Colin, Farrell, Carmichael, 'lawsuit', Michelle, Yeoh, Ke, Huy, Quan, Angela, Bassett, Quan, Spielberg, Bassett, Chadwick, Boseman, Quinta, Brunson, Tyler, James, Williams, Yeohs, Farrell, Cate, Blanchett, Austin, Butler, Elvis, Presley, Guillermo, del, Toros, Pinocchio, Carmichaels, Tom, Cruise, 'lawsuit', Eddie, Murphy, Will, Smiths, Ryan, Muprhy, Vlodymyr, Zelensky]"
