Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Watch Sony's CES 2023 keynote in under 9 minutes,Extremely Positive,10,['limited'],[],"[Neill, Blomkampdirected]"
2,Every Game Coming to PlayStation Plus and Xbox Game Pass in January 2023 (So Far),Extremely Negative,380,"['Fallen', 'fugitive', 'massacre', 'evil', 'Dark', 'Fallout', 'Fallout', 'Fallout', 'Fallout', 'Fallen', 'Cry', 'Fall', 'Fall', 'creepy', 'Fall', 'Monster', 'Monster', 'Fury', 'Havoc']",[],"[Kal, Kestis, Bound, by, Inkulinati]"
3,Sony Honda Mobility weighs future IPO for electric vehicle joint venture,Extremely Positive,190,[],"['joint', 'joint', 'joint', 'joint']","[Yasuhide, Mizuno, Mizuno, Toshihiro, Mibe]"
4,2022 was an incredible year for handheld gaming,Extremely Positive,280,"['embarrassing', 'cloud', 'critics', 'disorganized', 'cloud', 'Cloud', 'buzzing', 'Panic', 'Imperfect', 'lose', 'cloud', 'expensive', 'cloud', 'Cloud', 'cloud', 'Cloud', 'cloud', 'cloud', 'Breach']","['explosion', 'failed']",[]
5,Neill Blomkamp's Gran Turismo film certainly looks and sounds like Gran Turismo,Somewhat Positive,80,"['ripped', 'Stranger', 'delayed', 'Twisted']",['hell'],"[Neill, Blomkamp, Blomkamp, Archie, Madekwe, Simon, David, Harbour, Orlando, Bloom, Geri, Halliwell, Ginger, Spice, Blomkamp]"
6,Disney+ is adding DTS audio to IMAX Enhanced Marvel films,Extremely Positive,0,[],[],[]
7,Google Pixel 7a hands-on leak reportedly shows the 90Hz display,Extremely Negative,250,"['leaks', 'rumors', 'leaks', 'leak', 'rumors', 'rumors']",[],[]
8,DJI's lightweight RS 3 Mini camera stabilizer is designed to be used with one hand,Extremely Positive,130,"['problems', 'limitations', 'tiring', 'concerned']","['shooting', 'shooting']",[]
9,Sony announces new controller aimed at gamers with disabilities,Extremely Positive,30,"['lie', 'excessive', 'pain', 'unacceptable']",[],"[Steve, Spohn, Krissie, A.]"
10,PlayStation 5 Controllers Are at Their Lowest-Ever Price Right Now,Extremely Negative,220,"['rocky', 'tension', 'tension']",[],[]
11,"Sony, Honda roll out prototype of ‘Afeela’ electric vehicle that uses Qualcomm tech",Extremely Positive,20,"['slow', 'struggled']",[],"[Yashuhide, Mizuno]"
12,No Headline,Extremely Negative,320,"['ridiculously', 'limited', 'delayed', 'intense', 'weird', 'insane', 'cloud', 'dump', 'split', 'Unfortunately', 'sad', 'worry', 'missed']",[],"[Neill, Blomkamp]"
13,"At CES 2023, Sony's 'Gran Turismo' flags new entertainment strategy",Extremely Positive,310,"['break', 'curse', 'bad', 'rival', 'struck', 'weakness', 'rumors', 'struggled', 'touted', 'worst', 'lost', 'Bad', 'Bad', 'Stranger']","['Japanese', 'Stringer', 'Stringer']","[Kenichiro, Yoshida, Yoshida, Ulrike, Schaede, Schaede, Tony, Vinciquerra, Vinciquerra, Jim, Ryan, SpiderMans, Tom, Holland, Mark, Wahlberg, Benito, Antonio, Martnez, Ocasio, Bad, Bunny, Bad, Bunny, 'lawsuit', Rob, Stringer, Stringer, Jann, Mardenborough, Neil, Blomkamp, Orlando, Bloom, David, Harbour, Asad, Qizilbash]"
14,Raspberry Pi's new 12-megapixel camera modules provide powered autofocus,Extremely Positive,20,"['bumps', 'expensive', 'complex']",[],[]
