Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"
      Opinion: Hakeem Jeffries gave the speech that Kevin McCarthy should have — but won’t
    ",Extremely Negative,1060,"['struggle', 'hate', 'weakness', 'bigotry', 'hatred', 'Jeers', 'issues', 'racism', 'slander', 'tyranny', 'ugliness', 'suppression', 'confrontation', 'threats', 'threats', 'ambiguity', 'doubt', 'doubt', 'refused', 'losing', 'issues', 'desperately']","['Republican', 'attack', 'Baptist', 'reject', 'reject', 'Republican', 'attack', 'attack', 'attack', 'attack', 'lies']","[Dean, Obeidallah, Kevin, McCarthy, Hakeem, Jeffries, McCarthy, Nancy, Pelosi, Jeffries, Jeffries, McCarthy, Donald, Trump, Jeffries, Hakeem, Jeffries, 'harassment', 'harassment', Jeers, Trump, Jeffries, Jeffries, McCarthy, Trump, McCarthy, Trump, Trump, Trump, McCarthy, Trump, McCarthy, Jeffries, Trump, George, Santos, Jeffries]"
2,Alphabet's health science unit cuts over 200 jobs,Extremely Negative,290,[],"['laid', 'laid']","[Stephen, Gillett, Andy, Conrad]"
3,Google Cloud's top U.S. sales executive departs,Extremely Positive,100,"['cloud', 'Cloud', 'cloud', 'slowed', 'cloud', 'disappointing']",['laid'],"[Adaire, FoxMartin, Kirsten, Kliphouse, FoxMartins, Kliphouses]"
4,Google wins new chance for patent on search engine safety filter,Extremely Positive,130,['rejecting'],"['reject', 'reject']","[Jos, Castaeda, 'lawsuit', Kimberly, Moore, Shayon, Ghosh, Andrew, Trask, Robert, McBride]"
5,These 5 Big Techs have shed an eye-popping near $3.7 trillion in market value in a torrid year for stocks,Extremely Negative,380,"['threat', 'recession', 'brutal', 'lost', 'aggressive', 'drag', 'suffered', 'warned', 'recession', 'fall', 'crashed', 'missed', 'risk', 'gloomy', 'losing', 'fell', 'tumbled', 'losses', 'fret']",[],"[Elon, Musks]"
6,Employee offboarding: A data privacy and compliance primer for HR and IT,Somewhat Positive,410,"['issue', 'breach', 'damages', 'careless', 'critical', 'complex', 'difficult', 'fallout', 'concerns', 'dispute', 'harm', 'cloud', 'falling', 'weaknesses', 'cloud', 'dumped', 'cold', 'cloud', 'loss', 'cloud', 'cloud', 'nightmare', 'complicated']","['penetration', 'blind']","['lawsuit', James, McQuivey, Uzy, Hadad, 'lawsuit', Hadad, 'lawsuit', Hadad, Hadad, Anastasios, Gkouletsos, Steve, Wallo, Danny, Sandwell]"
7,Google argues it doesn't block rivals in bid to kill U.S. government antitrust lawsuit,Extremely Negative,530,"['loses', 'complaint', 'inappropriate', 'worse', 'hurt', 'allegations', 'illegally', 'limits', 'broke', 'hamper', 'abuses']",['kill'],"['lawsuit', 'lawsuit', 'lawsuit', Amit, Mehta, 'lawsuit', Trump, Mehta, 'lawsuit', 'lawsuit', Biden]"
8,'Kraken' subvariant name beats 'alphabet soup' moniker for XBB.1.5: biologist,Extremely Negative,650,"['fell', 'concern', 'difficult', 'slow', 'complicated', 'monster', 'dilemma', 'concerned', 'panicked', 'severe', 'illness', 'risk', 'vulnerable', 'CONTAGIOUS', 'SEVERE', 'virus', 'infection', 'severe', 'illness', 'infection', 'severe', 'illness', 'crowded', 'infections', 'severe', 'illness', 'worried', 'concerns', 'infections', 'delay', 'virus']","['Disease', 'fear', 'death']","[Ryan, Gregory, Gregorys, Gregory, Gregory, Gregory, Gregory, Gregory, Bonnie, Henry, Henry, Henry, Henry, Henry, Camille, Bains]"
9,EU to decide by Feb. 10 on Big Telecoms advertising venture,Extremely Negative,300,['concerns'],"['joint', 'joint']",[]
10,No Headline,Extremely Negative,240,"['Collusion', 'partisan', 'issues', 'partisan', 'issues']",[],"[Biden, Ian, Sams, Ian, Sams]"
